id,name
be64338d-1b70-4f9c-bac4-e0d458441a30,test-new
7a546858-7783-4833-b718-20a806d54cd5,Test PG 2
5c7d02a9-37c0-40a4-b6ba-eee890805910,SAH Orthopedic
76397fad-4da9-4d7f-9c42-6f5acd91dca1,SSTAR Family Health Care Center
797df927-2d0f-456a-8f08-f0ce00e5dcc1,Roger Williams Medical Center (RWMC)
81b92568-6f79-4717-bfe5-916020016165,Southcoast Physicians Group
5abebf61-6d3c-4407-b944-694f38fc6615,Premier Healthcare Services LLC
7bb9b5b2-1782-4d39-9330-d8cc687cfb7d,"HealthFirst Family Care Center, Inc."
d90bd338-62d1-4b95-a9fb-990e20e7b0bc,"Geriatric Internal Medicine Specialists, LLC"
ab3533f2-c860-45c7-8420-acb4cc9331f8,Tristan Medical Pc
198c4c2e-af1c-4808-83f2-708fae10ffc7,Infinity Medical Research
2ed1a635-c34b-4e7a-b678-ee00fe632321,Steward Primary Care at Paramount
d358155c-09b7-46f7-91e2-5dd0300bf34e,"The Greater New Bedford Community Health Center, Inc"
0dcbc3ad-55da-4006-b694-8970338aee91,GMA health - Graham Medical Associates
d83c52f6-6b42-495e-8ace-3881f78a6b4b,Tri Area Community Center
f79969e4-19a5-4c34-8b2f-f222f5dfed3b,test product
4ccb3b15-2e33-4ef4-81bb-ee23a3943f26,HMH Jersey Shore University Medical Center
a03bf0b4-5314-41e8-8849-4fe588ed8b66,U.S. Department of Veterans Affairs
4b51c8b7-c8c4-4779-808c-038c057f026b,Hawthorn Medical Associates - Family Practice
4e26e2d7-4d16-497d-9103-b39e638a9792,SMG Breast Care
d074279d-8ff6-47ab-b340-04f21c0f587e,"Aco Health Solutions, LLC"
8f832393-e7d2-475c-bc06-c1b8ab270942,Iris Medical Group
d10f46ad-225d-4ba2-882c-149521fcead5,Prima Care
83de8c79-1a28-4d0b-90bc-5deaf95949e5,"AppleMD Medical Services, PLLC"
5bce99a2-a71f-48e4-9c06-c16d9ab78ad5,Centric Physicians Group
e749dda4-60ab-48d3-afc6-728a15d74182,Doctor At Your Service
de385408-1cd6-46a2-be58-ff4b8eeeddc7,Doctors at home
b92e8240-61f7-475f-8cbe-f1442b6389b5,"Lowell Community Health Center, Inc"
c147e1f1-ccdb-4e22-8526-60a93ad4a678,Americare
6f4180aa-b472-4d5c-b7aa-98e06bb4fd6f,Spectrum Health Solutions (Community First Primary Care)
d80b9f6a-d8e8-42bc-8db7-043675a5b86b,Brockton Neighborhood Health Center
3120106b-18bc-4ae8-8ba8-d16b44bdf4fc,Boerne Healthcare Group
f0d98fdc-c432-4e05-b75e-af146aa0e27d,Health Quality Primary Care
0c2c11e0-ce99-4282-9172-7d06c7a12dda,Beth Israel Deaconess Medical Center (BIDMC)
daf14002-92e8-4024-b6bf-62cd1a2f8606,Diverse Care Clinic
3bc728e7-6839-4807-92ed-bb6c712020de,SSM Health Bone & Joint Hospital
3642cb84-6d4f-492c-8be1-4dd388bcea19,The Clinic @ Central Oklahoma Family Medical Center
ee54c7f2-a7ba-4b9a-90b0-7df96330b9f7,SSM Health Shawnee
198e2b2d-c22a-415d-9ebd-9656091d0308,Infectious Diseases Consultants of Oklahoma City- (Idcokc)
ecad2da6-91a7-4e26-8152-58d588eab134,Pushmataha Family Medical Center
f86dc96a-777c-4bdc-ae87-f147b1e5568e,Crescent Infectious Diseases
3c002ed5-f9b5-4d07-914a-4856c268c977,Norman Regional - Ortho Central
d09df8cc-a549-4229-a03a-ce29fb09aea2,Triton Health PLLC
c6ad87d9-79de-49bd-aa0a-6ef01400a83d,Internal Medicine Associates OKC
e8f2df67-c5a5-4c74-9daa-d9b41d8eb5d7,Chickasaw Nation Medical Center
108bbba4-5d5d-41d9-b1c6-0eaac5538f6c,Southeast Oklahoma Medical Clinic
be52e9cc-f825-4ff2-b336-508d6b9ad63b,Restore Family Medical clinic
69f909d4-b4c5-4d8a-8d2e-eb52d467ef3c,"Community Health Centers,Inc Oklahoma"
13c9e1d2-fbde-498a-b384-f530c29d0745,"Anibal Avila MA P,C"
45d72b92-6c6c-4bef-84f0-a36852d5f868,Community Physician Group-CPG Clinics
8e53f8ea-bb0b-472f-8560-0b9b4808c0fa,TPCH Pratice
8ffc4775-0fec-46ca-9bbf-f449f285fc5c,Family Health Center Worcester
7ec965fe-9777-4d52-8124-b056b4d90224,Total  Family Healthcare Clinic PLLC
6bdbf915-5fb2-4caa-8a0a-727ffd215c21,Key Medical Care
4bcbdb18-5fd6-4b7f-83da-d261e1fdcb45,Optimized Mobile Practitioners
a48aa403-d9c4-4778-88c5-36e68fa5f246,Hyde Park Health Associates
74c4124c-33fc-4374-a235-f3b37d872aa3,AVV health centre
4e594a84-7340-469e-82fb-b41b91930db5,Rocky Mountain Medical and Healthcare
2aeb18f5-4461-496d-8f74-66ba6f269cd3,Primary care of Ada
3718d695-1f27-46e6-8333-27a7f8194c60,Texas Quick Care
7c497ae8-426d-4aea-b933-5300a82e14e0,Armstrong Medical Group PLLC
4bd3d150-ccac-4305-9a3b-6e3e3257c28d,Rolling Meadows clinic
2f0e57de-ac8e-42f3-aa70-29b513a99038,Iowa Park Clinic
08871b2f-2d6a-4118-9997-58a26dd50fbb,Pcp For Life Pa(louetta)
26fc2e57-4cc4-4624-ac05-1bba41ad4c78,Resurgia Health Solutions
878d8c84-e00a-4312-9541-9aa97a0edfee,HarmonyCares
d2ad6ec6-c8b1-4d38-9b5c-34ae830b0b14,COMPASSUS OP OF GEORGIA II LLC
1e854346-8760-48e6-bef0-c64bc9cd51c4,INHOUSE PRIMARY CARE
2f607136-c370-422c-890d-f01bdaba6bae,Grace at Home
8cd766e5-6e19-492e-a1a9-6595d81d20ee,"TRAVELING DOCTORS, LLC"
ad364979-cb47-4538-8a5e-06a1203a5161,Providence Care
fbae8b26-4167-4641-ad69-1ed1d8dbdc26,Medical associates of katy
29e634d6-c6ce-4706-bed8-290c43f9c1ac,Intracare
49dd5f43-28fc-49b9-9ed2-72d1538605e8,COMFORT VISITING PHYSICIANS
20340927-b21d-4a36-8f17-773483c1f0a2,Lubbock Family Medicine
3c518cbf-8d9b-4736-87dc-7545f979542c,Modern Medical House Calls
72eba8ef-399c-4558-b35d-af7a24cd5537,Medical Associates of North Texas
2c644303-e951-440f-9aeb-4e10f597908a,Neighborhood Family Practice
2c8c42d5-d17b-462a-8e55-4ffebfc4bcf1,Texas Tech University Health Sciences Center - Amarillo
0f618d26-bd6e-4fe2-b883-cd1abd8b1443,Texas Health Physicians Group
9edca622-5a7e-43d6-9615-5170b3150b27,PHOENIX VA HEALTHCARE SYSTEM-PVAHCS
c5a9c7f8-f116-4e00-879a-b9ee195d147f,University Hospital Housecall
bc32a658-5b86-42bb-8f95-b8a2f26467c1,U.S. Medical Management
a72b678b-d381-4623-a43e-01842ada07dd,"CAROLINA CARING, INC"
693528c3-62fd-435a-8887-ea557290a913,DispatchHealth
4509d438-c384-4af8-bf05-2e7652802a91,Physician Housecalls
1ccccbee-aaaf-423c-be9f-55d28672e1a2,Ennoble Care-Edmond
7639142e-31b7-44e6-b99a-34762d434eb3,"Mid-MO House Calls, LLC"
5e7228f5-ee07-4bb1-afdb-63a81face33e,House Calls KC
0a0c9512-2a08-4ecd-b055-eb8162158f20,Cox Health At Home
ec42d230-a337-410e-9fd6-f5bd24b8a2b3,Best Physicians At Home
246abca0-7834-4990-a070-3cc1abb6587a,"House Call Medical Services, LLC"
a18d6cd6-06f1-4ded-8017-3dbe01547bef,Landmark Health
d7638dfd-195e-4b49-b093-73d2c4ac37c4,Oakleaf Clinics SC
359c4bf5-bae8-4032-80c6-dc7dab9fae35,Housecalls KC
1367cd6e-7886-453b-9cd6-4aefa8a044a4,Home Doctors Medical Group
b008c961-9c6c-463a-9c13-24baa53be175,MainStreet Clinic
438090ea-3c9c-4ea4-ac9d-1d18b5a895c8,Ennoble care (in-home primary care - Oklahoma city presence)
8e19343c-f526-4f2a-a0eb-bd2a9777a833,SYNERGY MEDICAL SERVICES LLC
aca5ac09-048d-4703-aceb-15856d18df9c,Landmark Health
ce7babaf-3af2-4d3f-bd95-fcf4000333cb,Aurora Health At Home
50d0810b-ee24-446d-b866-9e7041e89265,Baldwin Area Medical Center Inc
65799bb9-5b7c-4770-af55-6676482d15c5,Dr. Kelly’s House Calls
bab98755-73bb-4010-a26b-5547876613c9,Coastal Bend Housecalls
e373f2f1-3e0f-4436-ab85-46bde0d2edaa,Cornerstone Caregiving
bf4884e2-fdf6-4c1c-9159-c211ca353f90,"GREATER SA HOUSE CALLS, LLC"
48b0fc71-d8fb-4b91-bcaf-e1b2f811e174,"HALLMARK HOUSE CALLS, LLC"
383d9625-5a2d-46f8-ae58-a4fccf3734e3,Southeastern Virginia Health System
f499bd06-0663-4585-a075-4e0b075a6b7a,Lone Star Visiting Physicians
1af0866d-d43a-4980-b782-be085078fb45,Lone Star House Call Physicians
f0ec41af-08e9-40c7-949d-9de2bf5eb490,"Morgan Family Practice & Home Care Services, PLLC"
12a661d5-cf98-4faf-8526-8dbd28dc2e60,Sequoia Integrative Medical Services LLC
1cf15aa0-42e5-41e1-ac4d-d0c22a742c6d,PREMIER HOUSE CALLS PLLC
28fb96a4-95aa-434f-9c5f-f3694ae8e175,IN HOME PHYSICIANS MANAGEMENT OF TEXAS L.L.C.
96b619e7-47ca-44f4-b79b-cb195acbf4a6,Madison Medical Affiliates Inc
090f4a83-d5ff-444b-9487-7b95af089866,Mobile Medical Services of Milwaukee
1ac6c8b8-4f4d-48aa-aac1-1b62816d1e99,ThedaCare At Home
7af5e4a2-4eea-4bc3-92b8-a3058c957ede,Direct Primary Care of Oklahoma
c026f0b5-1534-4106-90fa-9fd35f0f7942,BEVERLY HILLS HEALTH INC
e0a01a5a-189f-4eab-9ca0-4a04e4ac1d62,"CJC Health Services - Health and Medical - Baltimore, Maryland"
1150c321-786a-46d0-bdd2-163e4bbefd4e,MED INSTITUTE
b61c7f14-e085-4ff3-9800-1d0e4c91b619,GET WELL HOUSE CALLS LLC
b320b85f-6dc1-48ad-8683-ced8980624f4,HOUSE CALL DOCTORS INC
0536a101-7a6d-4fa1-bfe2-4c54d8697d0d,wellspan director comunity care
49afe360-43bb-4643-ba7a-d9f74b7aa8fc,Acadian Health
b270d419-88f4-40b5-a787-64794879129d,CONCIERGE CARE PHYSICIANS
28eea544-e30a-42e5-9993-482d1fd79bf2,"Remedy Health, Oklahoma"
17bfe857-555a-49d1-9457-4c4077ab8bc8,"One Focus Medical, Oklahoma"
92aa3e6a-2c8d-44a3-a369-ac70f112c4cd,Saving Grace
961d85da-e8be-4f9a-8013-052ca78df458,Advanced Practice House Calls
e1a23566-0149-4a78-917f-b094238500ee,ATHENA MEDICAL GROUP
f8309d60-f344-44df-8142-d1e00583f26a,"Auxilium Mobile Healthcare, PLLC"
24426fc6-262f-4159-8165-5e0203f1679d,BLOOM PHYSICIAN HOUSECALLS PA
7c975099-9f72-4ab7-9652-d044afa05876,Urgentcare2go
292548f9-9df5-4844-9c1e-58bdf155a376,Home physicians group
5ac6be7a-1b11-4c7d-951e-57ae5cc584c4,Cleveland Clinic
ccf7aa70-7aba-495e-bb5e-371116951c8a,Texoma primary care
f6310a9c-0f7b-4302-b3f1-5e72e45eaf14,"AGEWELL SENIOR SERVICES, LLC"
12fd37bf-904c-4a28-a262-6ebab242c854,Healing Touch Family Clinic
a18fb14d-2879-4b74-a048-f086652d5580,Park Clinic
27b79b6f-343d-4d7e-ad7a-ecb030c935c0,UPMC
aff83440-405f-45ec-abb4-a221de256839,NP Housecalls
fe5d18ce-756d-4b63-8ed8-6bf32618398b,St. Peter’s Health Partners
d2fb753c-4fbb-425a-acd8-29f2ea596e11,Doctors House Calls of Florida
4a2b2b1f-8734-4eb8-99a1-90b712dfc750,Jamestown regional medical center
c84d136f-dbfa-413c-bcd7-4e27829a14ed,BlueSky Housecall
aeeae0a9-ae15-4cd0-88af-cb4822460961,Dispatch Health
1e4ef0c0-7899-4638-b324-fb8ba4d536ac,Endless Journey Hospice
789b3ba1-78ef-4910-a950-b75379149ba5,Freeman Medical Clinic
43d7d269-d4e1-48ea-a2bd-b6f8a644e855,CHI Health at Home
c1b6de27-ae97-473f-a42b-5877d7b572be,Physician House Calls
2e9680d3-2138-479f-a0a8-d4e15327527f,JOEY A. TRYON D.O
02a2f9f5-8474-46fb-89c4-35534fc4b770,SMG Mill River Internal Medicine
11814ddc-499c-41fc-beea-6b5b46289fb2,SSTAR Family Health Care Center
815d7fe8-1db8-448e-8cfc-7cf2c05ea7f4,SMG Orthopedics & Sports Medicine  North Easton
e9ae0a24-2a9e-4af9-9fec-07aeb39fb812,RegalCare at Taunton
14761337-cd76-4e76-8bdd-18a96465624e,Carney Hospital
3e96edfa-f24f-499d-85c8-7a5e92d8eed2,SHARDA KAUL M.D
93246714-2cfe-4ce6-88aa-4d46fbb13102,Salem New Hampshire physicians Network
c0926069-e956-4ed5-8775-1f462f6cff36,"Neurology Center Of New England, PC"
378b228f-d2be-4710-8d92-113fd67246ed,Northeast Dermatology Associates
db54156f-fe30-4b66-9377-5642c5df82de,Modern Care Medical Group
da21fedf-640b-4d5c-8ed7-df82fd109a87,Colorado Plains Medical Center Home Care
f3a3aaf4-72b9-4529-9ed6-3deeeb9216ff,"Family Home Health Care, Inc"
ff1cc9f8-93c4-4f21-a91c-7dc3b4d67d73,Golden Plains Community Hospital
58bff904-c774-44dd-9de5-a79a4df00568,Medinet Healthcare House Call Doctors
46625be7-9484-4366-b3f6-8f6122df3854,Edward M Kennedy Community Health Center
0fd5c3a8-9a11-4636-b254-f115d4b2ac7a,ACCURATE HEALTHCARE PROFESSIONALS
e492422e-6fa6-4fa1-b0be-2d31e463cc8b,Medical Housecalls LLC
4db231ba-bb78-4236-9206-fa3aff0fc11d,University Hospitals
cfa1443d-830f-42fb-b663-fe799ecc7325,Baystate Medical Center
2176379e-d835-430e-84c0-4c68ce6acc91,Boston Medical Center
e69b266c-97be-4453-bd85-05ab3939c6fa,Village Caregiving
14260100-3fab-4201-944d-a0400eef59e9,Freudenthal Home-Based Healthcare
21283126-9b8f-4948-a6f2-ef7288f6037c,Congenial Healthcare LLC
41372ee7-f779-4f6d-9140-021110c3e9b2,Column Health LLC
4ae0c10b-55f6-4af6-bfc6-08d6451679fd,"Brown Urology Brown Physicians, Inc"
c67b8af9-8d4d-4555-a4a5-771aefe25971,Supportive Healthcare
8d04a78a-c9e6-4167-8f93-1638a106e93b,Cleveland Clinic Home Care / Connected Care
ea00ef01-9ed0-475c-a9bd-fbe5111731b9,"Doctors Making Housecalls (DMHC) - Durham, NC"
67950684-0fec-4f23-bb1d-99a291ba2655,PROGRESSIVE CARE MEDICAL GROUP OF CT PLLC
77531d1d-06c4-446a-9cff-b57b3ec08499,Orthopaedic Associates
27365704-ac76-4d59-b4fa-00ca4c0cb576,"Mcbride Clinic Orthopedic Hospital, LLC"
2e8d1e19-1c09-4edb-888a-17e3b5dd6a56,Family Practice Associates Llp
1d26e7d3-a14c-4c17-8aa1-6b51737625b7,MID LEVEL HEALTH PROVIDER SERVICES LLC
f83c284c-e4d4-4bae-96e7-357e0dd89461,WEST TEXAS MEDICAL CENTER
96a46fb7-747e-4a30-b7c2-db7d0a2fc481,YAMPA VALLEY MEDICAL ASSOCIATES PC
8cab7c76-085d-4a11-b5b9-a4b8850ca1f6,UNIVERSITY OF CONNECTICUT HEALTH CENTER
a51b996f-3cdc-488e-a5d0-113ece8d7a8d,HOSPICE OF FRANKLIN COUNTY INC
79540a9d-2ead-4618-a99a-26e2718b2023,WORCESTER PHYSICIANS AND NURSES SERVICES LLC
6245e843-c0df-4360-856e-5addb79f2d35,UMASS MEMORIAL MEDICAL GROUP INC
0d4e600a-d28a-4d1b-82c9-ffec0723b8e0,MOBILE CARE PARTNERS OF CONNECTICUT PLLC
d6fd0eef-5d4b-4841-ac86-a3cfae052091,VMD PRIMARY PROVIDERS NEW HAMPSHIRE PLLC
638732dd-febf-4662-b6fc-0c33361aa163,JOSEPH BOTTA MD AND ASSOCIATES LLC
adfa95a7-a49e-468e-8f04-48108350af72,DARTMOUTH HITCHCOCK CLINIC
c975053a-6fc9-4b3e-884f-2cdf42206f25,metropolitan family health network
eb098032-9873-4853-b840-1ee4c711c6d8,Central Jersey Medical Center
59a8cbe7-5b2f-4160-b21c-ac647f925c3a,mary eliza mahoney health center
6f97910e-e86b-4fab-aec0-935a1b141840,University of Michigan Health – HouseCalls
26567128-7a3b-477d-a2ba-25072cc6b3c8,Visiting Physician Services of MI (homebound primary care)
6fe11143-d40f-4116-8e9d-57635c33c633,Visiting Physicians Association (HarmonyCares)
05c660e8-d11d-4d59-9c5e-c79cae4e9512,Visiting Physicians Services (VPS of MI)
c47aa917-b089-430f-a2f3-7bbab9e5e2e9,AB Home Care
b364e4c6-a853-4a42-a760-536294bb6fea,ACME Health Services – Visiting Physician Services
2fbec278-d2f5-40e6-b4d1-d90093a7e0a2,Adams County Medical Group
7e7305a5-5016-4f6b-8774-20052f12dcce,Advanced Medical House Calls
e25cb676-e302-4500-ac37-c127faf914bf,Ascension Medical Group
9e7c49ef-f360-4b95-83a9-7a2e0dbf8892,Complete care Health network
40df783f-2856-4e24-a70a-2ad2d481b413,Ascension St. Vincent PACE
568ad868-4c95-4fc7-a6bd-851a4375930f,NEWTON WELLESLEY MEDICAL GROUP INC
cebd474d-c561-4285-b8f5-db0a258dbde9,HOSPICE OF THE GOOD SHEPHERD INC
c01ae108-b049-488a-9db4-de12cc047b53,SPECIALIZED HEALTH MANAGEMENT INC
90729e01-9163-44be-a5aa-49502e825bd5,Eric B. Chandler Health Center
a6c1451f-b8f8-46fe-8298-7e319eecd124,Aspire Indiana Health Mobile Clinic
0a91e5af-6994-4254-834c-7dbc673cf2b2,MASSACHUSETTS GENERAL PHYSICIANS ORGANIZATION INC
3da312ab-ec09-48cf-bc28-6f3800e0c2e0,Atlantic care health services
dacc4c2d-bdaa-411b-b7e8-7aed73d435a1,TROUP BEHAVIORAL HEALTH LLC
97beb4cd-7237-43a3-9f41-630367079742,DCS MENTAL HEALTH INC
e72de667-2dc7-4b46-8cc9-03c87a244b81,UPWARD HEALTH OF MASSACHUSETTS PC
5a311d7b-f7f3-4c26-bfda-e06b26bb890e,ERICKSON HEALTH MEDICAL GROUP OF MASSACHUSETTS PC
